file,step,wall_time,tag,value
./test/events.out.tfevents.1687340060.iGpu25,1780000,1687340854.0625184,ray/tune/episode_reward_max,1275.0
./test/events.out.tfevents.1687340060.iGpu25,1800000,1687340862.6045547,ray/tune/episode_reward_max,1300.0
./test/events.out.tfevents.1687340060.iGpu25,1820000,1687340872.0231462,ray/tune/episode_reward_max,1425.0
./test/events.out.tfevents.1687340060.iGpu25,1840000,1687340880.5162575,ray/tune/episode_reward_max,1425.0
./test/events.out.tfevents.1687340060.iGpu25,1860000,1687340889.0571747,ray/tune/episode_reward_max,1675.0
./test/events.out.tfevents.1687340060.iGpu25,1880000,1687340897.6049538,ray/tune/episode_reward_max,1675.0
./test/events.out.tfevents.1687340060.iGpu25,1900000,1687340906.05924,ray/tune/episode_reward_max,1600.0
./test/events.out.tfevents.1687340060.iGpu25,1920000,1687340914.626816,ray/tune/episode_reward_max,1600.0
./test/events.out.tfevents.1687340060.iGpu25,1940000,1687340923.0159464,ray/tune/episode_reward_max,1475.0
./test/events.out.tfevents.1687340060.iGpu25,1960000,1687340931.9613748,ray/tune/episode_reward_max,1700.0
./test/events.out.tfevents.1687340060.iGpu25,1980000,1687340940.6791613,ray/tune/episode_reward_max,1700.0
./test/events.out.tfevents.1687340060.iGpu25,2000000,1687340949.4170516,ray/tune/episode_reward_max,1350.0
./test/events.out.tfevents.1687340060.iGpu25,2020000,1687340957.8392246,ray/tune/episode_reward_max,1350.0
./test/events.out.tfevents.1687340060.iGpu25,2040000,1687340966.3849936,ray/tune/episode_reward_max,1675.0
./test/events.out.tfevents.1687340060.iGpu25,2060000,1687340974.8377945,ray/tune/episode_reward_max,2600.0
./test/events.out.tfevents.1687340060.iGpu25,2080000,1687340983.317124,ray/tune/episode_reward_max,2600.0
./test/events.out.tfevents.1687340060.iGpu25,2100000,1687340991.828187,ray/tune/episode_reward_max,1525.0
./test/events.out.tfevents.1687340060.iGpu25,2120000,1687341000.2548544,ray/tune/episode_reward_max,1425.0
./test/events.out.tfevents.1687340060.iGpu25,2140000,1687341008.7580276,ray/tune/episode_reward_max,2650.0
./test/events.out.tfevents.1687340060.iGpu25,2160000,1687341017.3742692,ray/tune/episode_reward_max,2650.0
./test/events.out.tfevents.1687340060.iGpu25,2180000,1687341026.3828301,ray/tune/episode_reward_max,1700.0
./test/events.out.tfevents.1687340060.iGpu25,2200000,1687341035.8134375,ray/tune/episode_reward_max,1700.0
./test/events.out.tfevents.1687340060.iGpu25,2220000,1687341044.3157089,ray/tune/episode_reward_max,1625.0
./test/events.out.tfevents.1687340060.iGpu25,2240000,1687341052.8363976,ray/tune/episode_reward_max,1550.0
./test/events.out.tfevents.1687340060.iGpu25,2260000,1687341061.4364293,ray/tune/episode_reward_max,1550.0
./test/events.out.tfevents.1687340060.iGpu25,2280000,1687341069.9476728,ray/tune/episode_reward_max,1750.0
./test/events.out.tfevents.1687340060.iGpu25,2300000,1687341078.516463,ray/tune/episode_reward_max,1750.0
./test/events.out.tfevents.1687340060.iGpu25,2320000,1687341086.9729147,ray/tune/episode_reward_max,1375.0
./test/events.out.tfevents.1687340060.iGpu25,2340000,1687341095.3507557,ray/tune/episode_reward_max,1925.0
./test/events.out.tfevents.1687340060.iGpu25,2360000,1687341103.8588061,ray/tune/episode_reward_max,1925.0
./test/events.out.tfevents.1687340060.iGpu25,2380000,1687341112.8371675,ray/tune/episode_reward_max,1425.0
./test/events.out.tfevents.1687340060.iGpu25,2400000,1687341123.2185137,ray/tune/episode_reward_max,1200.0
./test/events.out.tfevents.1687340060.iGpu25,2420000,1687341131.6519299,ray/tune/episode_reward_max,1875.0
./test/events.out.tfevents.1687340060.iGpu25,2440000,1687341140.158429,ray/tune/episode_reward_max,1875.0
./test/events.out.tfevents.1687340060.iGpu25,2460000,1687341148.6623847,ray/tune/episode_reward_max,1850.0
./test/events.out.tfevents.1687340060.iGpu25,2480000,1687341157.071493,ray/tune/episode_reward_max,1450.0
./test/events.out.tfevents.1687340060.iGpu25,2500000,1687341165.6421754,ray/tune/episode_reward_max,1650.0
./test/events.out.tfevents.1687340060.iGpu25,2520000,1687341174.146097,ray/tune/episode_reward_max,1950.0
./test/events.out.tfevents.1687340060.iGpu25,2540000,1687341182.5704744,ray/tune/episode_reward_max,1475.0
./test/events.out.tfevents.1687340060.iGpu25,2560000,1687341191.1930194,ray/tune/episode_reward_max,1550.0
./test/events.out.tfevents.1687340060.iGpu25,2580000,1687341200.1991546,ray/tune/episode_reward_max,1700.0
./test/events.out.tfevents.1687340060.iGpu25,2600000,1687341208.7603924,ray/tune/episode_reward_max,1700.0
./test/events.out.tfevents.1687340060.iGpu25,2620000,1687341218.4814677,ray/tune/episode_reward_max,1625.0
./test/events.out.tfevents.1687340060.iGpu25,2640000,1687341226.9852731,ray/tune/episode_reward_max,1875.0
./test/events.out.tfevents.1687340060.iGpu25,2660000,1687341235.5279233,ray/tune/episode_reward_max,1875.0
./test/events.out.tfevents.1687340060.iGpu25,2680000,1687341243.9439712,ray/tune/episode_reward_max,1550.0
./test/events.out.tfevents.1687340060.iGpu25,2700000,1687341252.4623435,ray/tune/episode_reward_max,1875.0
./test/events.out.tfevents.1687340060.iGpu25,2720000,1687341261.049919,ray/tune/episode_reward_max,2225.0
./test/events.out.tfevents.1687340060.iGpu25,2740000,1687341269.6130316,ray/tune/episode_reward_max,2250.0
./test/events.out.tfevents.1687340060.iGpu25,2760000,1687341278.9287632,ray/tune/episode_reward_max,2250.0
./test/events.out.tfevents.1687340060.iGpu25,2780000,1687341287.4300134,ray/tune/episode_reward_max,2575.0
./test/events.out.tfevents.1687340060.iGpu25,2800000,1687341295.8251886,ray/tune/episode_reward_max,2575.0
./test/events.out.tfevents.1687340060.iGpu25,2820000,1687341304.8584847,ray/tune/episode_reward_max,1650.0
./test/events.out.tfevents.1687340060.iGpu25,2840000,1687341313.3850458,ray/tune/episode_reward_max,1450.0
./test/events.out.tfevents.1687340060.iGpu25,2860000,1687341321.8593175,ray/tune/episode_reward_max,1475.0
./test/events.out.tfevents.1687340060.iGpu25,2880000,1687341330.374764,ray/tune/episode_reward_max,1750.0
./test/events.out.tfevents.1687340060.iGpu25,2900000,1687341338.7558408,ray/tune/episode_reward_max,1750.0
./test/events.out.tfevents.1687340060.iGpu25,2920000,1687341347.408349,ray/tune/episode_reward_max,1475.0
./test/events.out.tfevents.1687340060.iGpu25,2940000,1687341356.0435667,ray/tune/episode_reward_max,1475.0
./test/events.out.tfevents.1687340060.iGpu25,2960000,1687341364.5497904,ray/tune/episode_reward_max,1250.0
./test/events.out.tfevents.1687340060.iGpu25,2980000,1687341372.9703007,ray/tune/episode_reward_max,1325.0
./test/events.out.tfevents.1687340060.iGpu25,3000000,1687341381.4626634,ray/tune/episode_reward_max,1825.0
./test/events.out.tfevents.1687340060.iGpu25,3020000,1687341390.0176506,ray/tune/episode_reward_max,1825.0
./test/events.out.tfevents.1687340060.iGpu25,3040000,1687341399.5505292,ray/tune/episode_reward_max,1775.0
./test/events.out.tfevents.1687340060.iGpu25,3060000,1687341407.9078426,ray/tune/episode_reward_max,1825.0
./test/events.out.tfevents.1687340060.iGpu25,3080000,1687341416.4149954,ray/tune/episode_reward_max,1825.0
./test/events.out.tfevents.1687340060.iGpu25,3100000,1687341424.9647806,ray/tune/episode_reward_max,2100.0
./test/events.out.tfevents.1687340060.iGpu25,3120000,1687341433.48226,ray/tune/episode_reward_max,2425.0
./test/events.out.tfevents.1687340060.iGpu25,3140000,1687341442.7422059,ray/tune/episode_reward_max,2425.0
./test/events.out.tfevents.1687340060.iGpu25,3160000,1687341451.2760084,ray/tune/episode_reward_max,1550.0
./test/events.out.tfevents.1687340060.iGpu25,3180000,1687341459.6954887,ray/tune/episode_reward_max,1650.0
./test/events.out.tfevents.1687340060.iGpu25,3200000,1687341468.2337995,ray/tune/episode_reward_max,1775.0
./test/events.out.tfevents.1687340060.iGpu25,3220000,1687341476.7851424,ray/tune/episode_reward_max,1775.0
./test/events.out.tfevents.1687340060.iGpu25,3240000,1687341485.3004959,ray/tune/episode_reward_max,1975.0
