uid,Game,Data,Dimension,Method,Loss function,Param1,Param2,Param2,Run1,Run2,Run3,,There should be another similar sheet on excel or google sheets. Find it  and seggregate it
ueorx8m2,,,,,,,,,,,,,
nr6uvy4v,,,,,,,,,,,,,
yployvkh,,,,,,,,,,,,,
ec0izbnn,,,,,,,,,,,,,
z4i2v51u,,,,,,,,,,,,,
bd798w0s,,,,,,,,,,,,,
fvqvg93r,,,,,,,,,,,,,
8zqlfvam,,,,,,,,,,,,,
vj5nmfcs,,,,,,,,,,,,,
8ulaa835,,,,,,,,,,,,,
h3fncamu,,,,,,,,,,,,,
6wsq1u4v,,,,,,,,,,,,,
7qzez4fa,,,,,,,,,,,,,
tw57iiv8,,,,,,,,,,,,,
4inov40i,,,,,,,,,,,,,
ijaa5srz,,,,,,,,,,,,,
hzeb0ktf,,,,,,,,,,,,,
9qhz56w6,,,,,,,,,,,,,
715l928e,,,,,,,,,,,,,
gmve5tep,,,,,,,,,,,,,
kgfqmt2e,,,,,,,,,,,,,
5j44lc4g,,,,,,,,,,,,,
j19vrpy0,,,,,,,,,,,,,
6q4o1umc,,,,,,,,,,,,,
kk0gdvw6,,,,,,,,,,,,,
7gf7cqv8,,,,,,,,,,,,,
gk34atxu,,,,,,,,,,,,,
eju7l8dz,,,,,,,,,,,,,
jn4re4lw,,,,,,,,,,,,,
lp2hdmbw,,,,,,,,,,,,,
pgruf12q,,,,,,,,,,,,,
vvz14370,,,,,,,,,,,,,
rj38ux9m,,,,,,,,,,,,,
i061cpsg,,,,,,,,,,,,,
v03zzsm4,,,,,,,,,,,,,
kewpa7wl,,,,,,,,,,,,,
dnomyukp,,,,,,,,,,,,,
ct9pi4sx,,,,,,,,,,,,,
n7hv9t0t,,,,,,,,,,,,,
6ssh7zsx,,,,,,,,,,,,,
6uwu1pfi,,,,,,,,,,,,,
4ib1wcll,,,,,,,,,,,,,
nk3n3lce,,,,,,,,,,,,,
bqub5c38,,,,,,,,,,,,,
wcb37qax,,,,,,,,,,,,,
nzp0ginp,,,,,,,,,,,,,
2kv6dtqt,,,,,,,,,,,,,
yw2zpnxa,,,,,,,,,,,,,
7nxmyfec,,,,,,,,,,,,,
pxv04zzo,,,,,,,,,,,,,
t1l56xxw,,,,,,,,,,,,,
68x6mtix,,,,,,,,,,,,,
jape6m9g,,,,,,,,,,,,,
4uifxpbx,,,,,,,,,,,,,
2nrbvkax,,,,,,,,,,,,,
6ev22z50,,,,,,,,,,,,,
8m8qu7bv,,,,,,,,,,,,,
hn2raiz9,,,,,,,,,,,,,
b1sjqpfg,,,,,,,,,,,,,
ltxod9q9,,,,,,,,,,,,,
ly1zjz3r,,,,,,,,,,,,,
y70skagz,,,,,,,,,,,,,
q2eug82m,,,,,,,,,,,,,
q7kbz8wn,,,,,,,,,,,,,
o53gt19g,,,,,,,,,,,,,
ldbcfx0h,,,,,,,,,,,,,
8873k3iq,,,,,,,,,,,,,
4l3hf140,,,,,,,,,,,,,
2e1o21a2,,,,,,,,,,,,,
uy2auqyd,,,,,,,,,,,,,
othpg3p9,,,,,,,,,,,,,
evqv2af1,,,,,,,,,,,,,
f3ljqhgq,,,,,,,,,,,,,
icy48urj,,,,,,,,,,,,,
ilyqpouh,,,,,,,,,,,,,
o3rvqft7,,,,,,,,,,,,,
veqwn7x1,,,,,,,,,,,,,
pdkse6fv,,,,,,,,,,,,,
ek54af36,,,,,,,,,,,,,
pvg2ficg,,,,,,,,,,,,,
mzivrpgp,,,,,,,,,,,,,
hutle70v,,,,,,,,,,,,,
4airlfsn,,,,,,,,,,,,,
30mmfzqh,,,,,,,,,,,,,
dpmpui6y,,,,,,,,,,,,,
mgawv61m,,,,,,,,,,,,,
lsm3x4th,,,,,,,,,,,,,
9b0ixy8g,,,,,,,,,,,,,
mbl11e5a,,,,,,,,,,,,,
0g03bihi,,,,,,,,,,,,,
2g2b4nzm,,,,,,,,,,,,,
9cmwarp0,,,,,,,,,,,,,
3saljzs7,,,,,,,,,,,,,
o6vj2s7o,,,,,,,,,,,,,
bbxygjzn,,,,,,,,,,,,,
p9e76njg,,,,,,,,,,,,,
in1t4p2d,,,,,,,,,,,,,
e6dqnqbh,,,,,,,,,,,,,
2xxyyfsq,,,,,,,,,,,,,
wzuwjjl7,,,,,,,,,,,,,
u171hqaf,,,,,,,,,,,,,
l2kmmu0l,,,,,,,,,,,,,
rd9hpclk,,,,,,,,,,,,,
00xusg7q,,,,,,,,,,,,,
9w4v7g0i,,,,,,,,,,,,,
yhkl6k7a,,,,,,,,,,,,,
nturgu5q,,,,,,,,,,,,,
k8d2akor,,,,,,,,,,,,,
09n7ctwa,,,,,,,,,,,,,
6zzmxl4o,,,,,,,,,,,,,
qa57xbpo,,,,,,,,,,,,,
9zb6l1b1,,,,,,,,,,,,,
jilnbkp4,,,,,,,,,,,,,
x4pjk1e7,,,,,,,,,,,,,
4i5gkbd6,,,,,,,,,,,,,
f2g5rez5,,,,,,,,,,,,,
n4l1doke,,,,,,,,,,,,,
olc84lxs,,,,,,,,,,,,,
pplaekfp,,,,,,,,,,,,,
pzl5lv4o,,,,,,,,,,,,,
uxijgzej,,,,,,,,,,,,,
pt74wv3m,,,,,,,,,,,,,
cas7gmvx,,,,,,,,,,,,,
5tc1rjhy,,,,,,,,,,,,,
bas31tpv,,,,,,,,,,,,,
b4vk9yto,,,,,,,,,,,,,
3zan7nf4,,,,,,,,,,,,,
carkn35f,,,,,,,,,,,,,
kuokfgg7,,,,,,,,,,,,,
gz9gkv5p,,,,,,,,,,,,,
hcccg0cq,,,,,,,,,,,,,
soz5p18o,,,,,,,,,,,,,
j9dtg8wc,,,,,,,,,,,,,
053rer32,,,,,,,,,,,,,
xuxknb4i,,,,,,,,,,,,,
nv362f1t,,,,,,,,,,,,,
a27oe97r,,,,,,,,,,,,,
bwkwiyyd,,,,,,,,,,,,,
jp0lyatx,,,,,,,,,,,,,
hol331ns,,,,,,,,,,,,,
6k6irbsw,,,,,,,,,,,,,
je0qmtkd,,,,,,,,,,,,,
yulonnbb,,,,,,,,,,,,,
omgts4gn,,,,,,,,,,,,,
j1hwun5w,,,,,,,,,,,,,
cj6rrnt9,,,,,,,,,,,,,
wi7hwp2v,,,,,,,,,,,,,
bwl3cbsd,,,,,,,,,,,,,
gz6ghkup,,,,,,,,,,,,,
ex27dxri,,,,,,,,,,,,,
yknnrm68,,,,,,,,,,,,,
gvkdkp1c,,,,,,,,,,,,,
09thjhhg,,,,,,,,,,,,,
8rol8f2q,,,,,,,,,,,,,
oq3npipb,,,,,,,,,,,,,
amc7u0n4,,,,,,,,,,,,,
gdl6btej,,,,,,,,,,,,,
cnsk93ma,,,,,,,,,,,,,
jdkl1f24,,,,,,,,,,,,,
ngsphdlw,,,,,,,,,,,,,
cqnuh2ge,,,,,,,,,,,,,
bxww68gh,,,,,,,,,,,,,
49dkt9hd,,,,,,,,,,,,,
xo1y02nn,,,,,,,,,,,,,
atmiv9ue,,,,,,,,,,,,,
ly4g8ael,,,,,,,,,,,,,
axftprsi,,,,,,,,,,,,,
1dlfey3l,,,,,,,,,,,,,
ef0td9nh,,,,,,,,,,,,,
o2jqv1ha,,,,,,,,,,,,,
9evvsggg,,,,,,,,,,,,,
hphgwwpn,,,,,,,,,,,,,
ytyj19w4,,,,,,,,,,,,,
acdxcmo3,,,,,,,,,,,,,
jplapcy0,,,,,,,,,,,,,
padl7x4i,,,,,,,,,,,,,
kh6z531u,,,,,,,,,,,,,
jh5ucqiq,,,,,,,,,,,,,
i73f07wg,,,,,,,,,,,,,
7zumosqs,,,,,,,,,,,,,
1x2u4oof,,,,,,,,,,,,,
3kkylazx,,,,,,,,,,,,,
pmxgbht9,,,,,,,,,,,,,
p0dophc6,,,,,,,,,,,,,
k4nwp3mb,,,,,,,,,,,,,
wre8rdaw,,,,,,,,,,,,,
51mcrqi7,,,,,,,,,,,,,
svxgaw99,,,,,,,,,,,,,
x9f5b8sw,,,,,,,,,,,,,
f8ilvul2,,,,,,,,,,,,,
s4xxkhud,,,,,,,,,,,,,
xxwm8aus,,,,,,,,,,,,,
242lhpiw,,,,,,,,,,,,,
i4mn7i25,,,,,,,,,,,,,
l6qaogbe,,,,,,,,,,,,,
xg5brp2i,,,,,,,,,,,,,
zr66wl35,,,,,,,,,,,,,
aroynscu,,,,,,,,,,,,,
xjexgnp0,,,,,,,,,,,,,
elkyd1c3,,,,,,,,,,,,,
r7vv28z6,,,,,,,,,,,,,
e2hyu671,,,,,,,,,,,,,
36mexk0u,,,,,,,,,,,,,
si3tqlfr,,,,,,,,,,,,,
movkyorj,,,,,,,,,,,,,
1rwk8qw6,,,,,,,,,,,,,
u5htqip1,,,,,,,,,,,,,
wdklblry,,,,,,,,,,,,,
w053l026,,,,,,,,,,,,,
j4lxkdy2,,,,,,,,,,,,,
ttuzldn9,,,,,,,,,,,,,
pojksx9t,,,,,,,,,,,,,
kcwprbrz,,,,,,,,,,,,,
ahgw43q6,,,,,,,,,,,,,
rqyw4f06,,,,,,,,,,,,,
97aqup41,,,,,,,,,,,,,
nd43jue5,,,,,,,,,,,,,
8eek7llw,,,,,,,,,,,,,
9cyk2m42,,,,,,,,,,,,,
lh078q8v,,,,,,,,,,,,,
mo6ssupu,,,,,,,,,,,,,
ua77ral0,,,,,,,,,,,,,
cygq73xc,,,,,,,,,,,,,
b15g4uir,,,,,,,,,,,,,
svvuvf48,,,,,,,,,,,,,
xnhz3n8z,,,,,,,,,,,,,
1a8jv1k1,,,,,,,,,,,,,
1m0m3req,,,,,,,,,,,,,
vmchxfff,,,,,,,,,,,,,
jfintcsc,,,,,,,,,,,,,
2u6h79c2,,,,,,,,,,,,,
ahpavu8o,,,,,,,,,,,,,
aujncq1m,,,,,,,,,,,,,
7bto3inc,,,,,,,,,,,,,
g29sx9nu,,,,,,,,,,,,,
5y2elzfz,,,,,,,,,,,,,
0ca0j3at,,,,,,,,,,,,,
3jb94bvi,,,,,,,,,,,,,
vf7dhq53,,,,,,,,,,,,,
oy8x076a,,,,,,,,,,,,,
wdickl1f,,,,,,,,,,,,,
0apt1wy7,,,,,,,,,,,,,
6320aznl,,,,,,,,,,,,,
4d5przud,,,,,,,,,,,,,
bp11owm5,,,,,,,,,,,,,
mpr5ipyw,,,,,,,,,,,,,
doxz2dph,,,,,,,,,,,,,
7ohdjczi,,,,,,,,,,,,,
1h3zrgr0,,,,,,,,,,,,,
w5mzdg18,,,,,,,,,,,,,
b6bweybi,,,,,,,,,,,,,
qlgt888h,,,,,,,,,,,,,
ee0bhwtb,,,,,,,,,,,,,
ts71q611,,,,,,,,,,,,,
hp9d5mt0,,,,,,,,,,,,,
k65nrmj2,,,,,,,,,,,,,
9ylq4pji,,,,,,,,,,,,,
nj932ygi,,,,,,,,,,,,,
pmcludr9,,,,,,,,,,,,,
h73g05e0,,,,,,,,,,,,,
8iy6msex,,,,,,,,,,,,,
pjtycz31,,,,,,,,,,,,,
cdr8niuq,,,,,,,,,,,,,
d9eh0a8x,,,,,,,,,,,,,
ircqf0rl,,,,,,,,,,,,,
ew4bxtbo,,,,,,,,,,,,,
hgb20093,,,,,,,,,,,,,
fftlmzlq,,,,,,,,,,,,,
vlt4frfz,,,,,,,,,,,,,
df9miesu,,,,,,,,,,,,,
btkmyzzh,,,,,,,,,,,,,
rxcy8hde,,,,,,,,,,,,,
zhqt56r2,,,,,,,,,,,,,
rg5b8owr,,,,,,,,,,,,,
cqfntimz,,,,,,,,,,,,,
i1xx3qvd,,,,,,,,,,,,,
1c0cbn66,,,,,,,,,,,,,
sekuayv5,,,,,,,,,,,,,
xt3f4ne8,,,,,,,,,,,,,
2l00vkb7,,,,,,,,,,,,,
ddj9425w,,,,,,,,,,,,,
jxjx8z68,,,,,,,,,,,,,
e6usgu4c,,,,,,,,,,,,,
t1agmtax,,,,,,,,,,,,,
eb15qzqu,,,,,,,,,,,,,
432vvr7h,,,,,,,,,,,,,
eyjmfb8g,,,,,,,,,,,,,
zbudlxmv,,,,,,,,,,,,,
p8tk555c,,,,,,,,,,,,,
in52bh73,,,,,,,,,,,,,
5xietcuk,,,,,,,,,,,,,
lo6dgvis,,,,,,,,,,,,,
ksjk1u18,,,,,,,,,,,,,
s7oq9udi,,,,,,,,,,,,,
mxy81wea,,,,,,,,,,,,,
hj9xz5r4,,,,,,,,,,,,,
7s49fwq0,,,,,,,,,,,,,
haiuup5x,,,,,,,,,,,,,
38m3ofnw,,,,,,,,,,,,,
11z0aoje,,,,,,,,,,,,,
u81vnoia,,,,,,,,,,,,,
n6bzgbnn,,,,,,,,,,,,,
3vjpvdpn,,,,,,,,,,,,,
4koawyiv,,,,,,,,,,,,,
0ye84zd3,,,,,,,,,,,,,
il5bs9az,,,,,,,,,,,,,
vrc2rtcd,,,,,,,,,,,,,
ijzdwxth,,,,,,,,,,,,,
68qxgt61,,,,,,,,,,,,,
6aigsg1b,,,,,,,,,,,,,
bgv8texr,,,,,,,,,,,,,
jmodsxnq,,,,,,,,,,,,,
9ks7ovmf,,,,,,,,,,,,,
mjog9jez,,,,,,,,,,,,,
t42759r1,,,,,,,,,,,,,
xfnophsp,,,,,,,,,,,,,
d1phjkn0,,,,,,,,,,,,,
wbmv56tz,,,,,,,,,,,,,
wo4bzua7,,,,,,,,,,,,,
hycidoxl,,,,,,,,,,,,,
5tzhelhb,,,,,,,,,,,,,
dx1finx7,,,,,,,,,,,,,
fhj4cdnz,,,,,,,,,,,,,
z2o0jzbu,,,,,,,,,,,,,
qzp6fpxt,,,,,,,,,,,,,
qkn4piz9,,,,,,,,,,,,,
gh79jby7,,,,,,,,,,,,,
620o1cbg,,,,,,,,,,,,,
jbshmu6j,,,,,,,,,,,,,
cwsofpot,,,,,,,,,,,,,
vj8hzf8s,,,,,,,,,,,,,
qpu8v5mk,,,,,,,,,,,,,
r089xp2j,,,,,,,,,,,,,
ilcxofaj,,,,,,,,,,,,,
flhja8si,,,,,,,,,,,,,
t3hilnst,,,,,,,,,,,,,
zkecynkn,,,,,,,,,,,,,
0p2baumi,,,,,,,,,,,,,
u6rjzgs5,,,,,,,,,,,,,
ocrpxjmr,,,,,,,,,,,,,
0mg62qt1,,,,,,,,,,,,,
r2qwdqk6,,,,,,,,,,,,,
vif496hi,,,,,,,,,,,,,
14fhfqlv,,,,,,,,,,,,,
49eshe6d,,,,,,,,,,,,,
07p5892u,,,,,,,,,,,,,
4jsothnc,,,,,,,,,,,,,
2h3td64h,,,,,,,,,,,,,
n1mq8lue,,,,,,,,,,,,,
66sme5im,,,,,,,,,,,,,
b8pwfatf,,,,,,,,,,,,,
hvslc48f,,,,,,,,,,,,,
vokdsv1l,,,,,,,,,,,,,
u8trbcso,,,,,,,,,,,,,
nan0hh6o,,,,,,,,,,,,,
fb1nr9nv,,,,,,,,,,,,,
3xu0fpp4,,,,,,,,,,,,,
t23u1edw,,,,,,,,,,,,,
l5dt58df,,,,,,,,,,,,,
m883nso2,,,,,,,,,,,,,
9mo8yy5f,,,,,,,,,,,,,
d8hypise,,,,,,,,,,,,,
zqhuctzc,,,,,,,,,,,,,
k5p3d5sz,,,,,,,,,,,,,
vyh9m7wj,,,,,,,,,,,,,
oach1vll,,,,,,,,,,,,,
a0grv2il,,,,,,,,,,,,,
nxojipbq,,,,,,,,,,,,,
ny58ll8c,,,,,,,,,,,,,
tqcjhvpo,,,,,,,,,,,,,
46bnjene,,,,,,,,,,,,,
2c5ktbsw,,,,,,,,,,,,,
