uid,Game,Data,Dimension,Method,Loss function,Param1,Param2,Param3,Batch size,nepoch,Run1,Run2,Run3,There should be another similar sheet on excel or google sheets. Find it  and seggregate it,
07oii6qi,Union_Square,,,VEP,,,,,,0.5,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0_0.5.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_31_12_23_33,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0_0.5.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_31_20_22_25,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_0_0.5.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_01_04_15_30,,
jtw6peu9,Union_Square,,,VEP,,,,,,1,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_1_2.0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/23_12_31_22_48_49,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_1_2.0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_01_01_05_35,1.a_Union_Square_singlegame_full_3CHAN_NVEP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_-1.0_2.0_same_32_0_0.0001_1_2.0.pt_PolicyNotLoaded_0.0_20000_2000_notemp/24_01_01_03_15_38,,
5ehsrgkw,Union_Square,,,,,,,,,,,,,,
fuqxtf5p,Union_Square,,,TCN,,2,,,,,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_12_16_44,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_15_38_44,1.a_Union_Square_singlegame_full_3CHAN_TCN_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_2.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_19_19_33_04,,
7glbjgv8,Union_Square,,,,,,,,,,,,,,
kgrqo63z,Union_Square,,,,,,,,,,,,,,
gk51s3u6,Union_Square,,,VIP,,,,,,,1.a_Union_Square_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_22_07_24_56,1.a_Union_Square_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_255.0_notemp/24_01_22_10_35_06,1.a_Union_Square_singlegame_full_3CHAN_VIP_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_50.0_15.0_triplet_32_0_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_255.0_notemp/24_01_22_10_35_19,,
hrbxipzm,Union_Square,,,,,,,,,,,,,,
8ki0uy4h,Union_Square,,,,,,,,,,,,,,
ue5a0q1r,Union_Square,,,SOM,,0.9,,,,,"1.a_Union_Square_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_12_06_21
",1.a_Union_Square_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_16_15_10,1.a_Union_Square_singlegame_full_3CHAN_SOM_BEOGYM_EXPERT_3CHAN_ALLUNIONHUDSONWALL_STANDARD_0.9_triplet_32_32_0.0001_1.pt_PolicyNotLoaded_0.0_20000_2000_1.0_notemp/24_01_21_20_42_51,,
